id,thoroughfare_id,cenu2016_ettlement_geogid,census2016_small_area_geogid,local_authority_id,post_county_name,eircode_area_code,postal_address,new_home_ind,sold_date,sold_price,lat,lon,building_property_subtype_code,building_shape_area_value,sqm_value,yoc_value,storey_value,beds_value,baths_value,house_number,road,city_district,city,district,county,state_district,postcode,country,country_code,locality,village,municipality,suburb,town,residential,craft,amenity,building,commercial,neighbourhood,place,region,tourism,quarter,shop,leisure,historic,office
1375886,1200003364,35001.0,A267017007,28,dublin,A94,26 ashton park monkstown blackrock co. dublin a94 w6v2,0,24/07/2013,475000,53.28881,-6.1566540000000005,semi-dend-terraceached,92.273285,155.75,1950.0,1.0,5.0,,26,Ashton Park,Blackrock-Monkstown ED,,,County Dublin,Leinster,A96 TW60,Ireland,ie,,,Dún Laoghaire-Rathdown,Mountashton,Dún Laoghaire,,,,,,,,,,,,,,
1405990,1200007180,35001.0,A268080009,29,dublin,D07,15 valentia parade dublin 7 d07 x378,0,29/08/2011,80000,53.360457,-6.26345,mid-terrace,,56.55,1910.0,1.0,1.0,,,Valentia Parade,Inns Quay A ED,Dublin,Dublin 7,County Dublin,Leinster,D01 C2F6,Ireland,ie,Clonliff South,,,,,,,,,,,,,,,,,,
1877750,1200033244,35001.0,A267145007,26,dublin,D24,70 the crescent millbrook lawns dublin 24 d24 x2ev,0,30/11/2018,252500,53.28335799999999,-6.357101,mid-terrace,46.037526,,,2.0,,,70,The Crescent,Tallaght-Millbrook ED,,Dublin 24,County Dublin,Leinster,D24 R778,Ireland,ie,Oldbawn,,South Dublin,,,Millbrook Lawns,,,,,,,,,,,,,
179923,1200000910,35001.0,A268117003,29,dublin,D04,4 saint mary's lane dublin 4 d04 v3v2,0,22/10/2015,643500,53.334852000000005,-6.239045,bungalow,137.254219,137.254219,,1.0,,,,St Mary's Lane,Pembroke West C ED,Dublin,Dublin 4,County Dublin,Leinster,DO4 PF51,Ireland,ie,Baggotrath East,,,,,,,,,,,,,,,,,,
1561874,1200007199,35001.0,A268115008,29,dublin,D04,apartment 3 the clayton the gasworks south lotts road dublin 4 d04 e6r7,0,27/09/2013,235000,53.339537,-6.2356300000000005,multi-family,,,2018.0,1.0,2.0,,,Gordon Street,Pembroke West A ED,Dublin,Dublin 4,County Dublin,Leinster,D04 TR29,Ireland,ie,South Lots,,,,,,,,The Clayton,,,,,,,,,,
827710,1200007266,35001.0,A268138014,29,dublin,D01,39 north great george's street dublin 1 d01 y9p0,0,03/09/2015,250000,53.354427,-6.260391,mid-terrace,190.68334,,,1.0,,,39,North Great George's Street,Rotunda A ED,Dublin,Dublin 1,County Dublin,Leinster,D01 PP66,Ireland,ie,,,,,,,,,,,,,,,,,,,
972391,1200009600,35001.0,A268081006,29,dublin,D07,66 saint joseph's place dorset street upper dublin 7 d07 x0v6,0,11/11/2015,229000,53.357077000000004,-6.267288,end-terrace,,62.31,1900.0,2.0,3.0,1.0,22,Blessington Street,Inns Quay B ED,Dublin,Dublin 7,County Dublin,Leinster,D01 W2C9,Ireland,ie,,,,,,,,,,,,,,,,,,,
1497827,1200011570,35001.0,A267117002,26,dublin,D14,89 ballytore road dublin 14 d14 xr79,0,09/09/2016,660000,53.303020999999994,-6.274262,semi-dend-terraceached,88.419341,122.27,1966.0,2.0,4.0,,,Ballytore Road,Rathfarnham Village ED,,Dublin 14,County Dublin,Leinster,D06 K767,Ireland,ie,,,South Dublin,Rathfarnham,,,,,,,,,,,,,,,
843863,1200015895,35001.0,A268003007,29,dublin,D07,apartment 230 the schooner arran quay dublin 7 d07 ax93,0,05/07/2019,194800,53.346368000000005,-6.277133,multi-family,,50.0,1993.0,1.0,1.0,1.0,15,Arran Quay,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 HK38,Ireland,ie,,,,,,,,,,,,,,,,,,,
260069,1200042150,35001.0,A267139001,26,dublin,D24,apartment 85 new bancroft hall greenhills road extension dublin 24 d24 v2hc,0,25/10/2018,220000,53.288033,-6.357969000000001,multi-family,,65.65,2008.0,1.0,,,,Main Street,Tallaght-Kingswood ED,,Dublin 24,County Dublin,Leinster,D24 KP02,Ireland,ie,Tallaght,,South Dublin,,,,,,,,,,,,,,,,
185599,1200005769,35001.0,A268143014,29,dublin,D04,apartment 30 the dock mill grand mill quay barrow street dublin 4 d04 a348,0,15/09/2017,463000,53.340506000000005,-6.236936,multi-family,,,,1.0,,,,Barrow Street,South Dock ED,Dublin,Dublin 4,County Dublin,Leinster,D04 TR29,Ireland,ie,South Lots,,,,,,,,The Dock Mill,,,,,,,,,,
1269247,1200007180,35001.0,A268080009,29,dublin,D07,18 valentia parade dublin 7 d07 wf70,0,09/12/2016,168000,53.360581,-6.263366,mid-terrace,46.483263,,,,,,,Valentia Parade,Inns Quay A ED,Dublin,Dublin 7,County Dublin,Leinster,D01 C2F6,Ireland,ie,Clonliff South,,,,,,,,,,,,,,,,,,
979846,1200010613,35001.0,A268005001,29,dublin,D07,38 ard righ road dublin 7 d07 e2p0,0,12/09/2019,388000,53.35088199999999,-6.285686,mid-terrace,56.927326,79.29,1906.0,2.0,2.0,,,Ard Righ Road,Arran Quay E ED,Dublin,Dublin 7,County Dublin,Leinster,D08 R596,Ireland,ie,Grangegorman West,,,,,Oxmantown,,,,,,,,,,,,,
615269,1200000897,35001.0,A267017004,28,dublin,A94,apartment 1 greenville court stradbrook road blackrock co. dublin a94 np90,0,14/11/2018,340000,53.29400699999999,-6.167381,multi-family,,,,1.0,,,,Greenville Road,Blackrock-Monkstown ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,,,Dún Laoghaire-Rathdown,Montpelier,Blackrock,Greenville Road,,,Greenville Court,,,,,,,,,,
156176,1200007738,35001.0,A268143019,29,dublin,D02,apartment 26 block 11 gallery quay pearse street dublin 2 d02 ck30,0,12/02/2016,280000,53.342833,-6.240182,multi-family,,128.2,2005.0,2.0,1.0,,,Chimney View,South Dock ED,Dublin,Dublin 2,County Dublin,Leinster,D02 HP83,Ireland,ie,,,,,,,,,Gallery Quay,Dublin Docklands,,,,,,,,,
1535023,1200015454,4009.0,A267099029,27,dublin,D13,apartment 34 greenview seabrook manor station road portmarnock co. dublin d13 p383,0,19/06/2015,255000,53.41968000000001,-6.152158999999999,multi-family,,77.98,2003.0,1.0,,,,,Malahide ED,,,County Dublin,Leinster,13,Ireland,ie,Portmarnock,Portmarnock,Fingal,,,Seabrook Manor,,,,,,,,,,,,,
65264,1200026233,4009.0,A267111010,27,dublin,D13,73 the kilns station road portmarnock co. dublin d13 ca32,0,05/09/2014,285000,53.419332999999995,-6.150446,multi-family,,,,1.0,,,,The Kilns,Malahide ED,,,County Dublin,Leinster,13,Ireland,ie,Portmarnock,Portmarnock,Fingal,,,,,,,,,,,,,,,,
660521,1200036394,35001.0,A267043006,28,dublin,D14,64 landscape park dublin 14 d14 kc56,0,15/08/2016,520000,53.298911,-6.261722,semi-dend-terraceached,100.45938100000001,121.59,1953.0,2.0,4.0,,64,Landscape Park,Churchtown-Landscape ED,,Dublin 14,County Dublin,Leinster,D14 X654,Ireland,ie,,,Dún Laoghaire-Rathdown,Newtown Little,,,,,,,,,,,,,,,
256460,1200040517,35001.0,A268003016,29,dublin,D07,apartment 48 clipper view liffey street west dublin 7 d07 e981,0,11/04/2019,294118,53.34745600000001,-6.285089,multi-family,,,,1.0,,,,Liffey Street West,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D08 R596,Ireland,ie,,,,,,,,Collins Barracks,,,,,,,,,,,
1425844,1200011637,35001.0,A268080001,29,dublin,D07,99 derrynane square dublin 7 d07 h660,0,13/07/2015,195000,53.36043299999999,-6.261549,multi-family,,,,1.0,,,,Derrynane Square,Inns Quay A ED,Dublin,Dublin 7,County Dublin,Leinster,D01 C2F6,Ireland,ie,Clonliff South,,,,,,,,,,,,,,,,,,
653353,1200006398,35001.0,A268117001,29,dublin,D04,apartment 1 huband court percy place dublin 4 d04 kr23,0,19/12/2018,485000,53.33547900000001,-6.242268,multi-family,,69.97,1980.0,1.0,,,,Percy Place,Pembroke West C ED,Dublin,Dublin 4,County Dublin,Leinster,D02 FK19,Ireland,ie,Baggotrath North,,,,,,,,Bank of Ireland,,,,,,,,,,
308281,1200008421,35001.0,A268143020,29,dublin,D02,apartment 11 block 1 gallery quay grand canal quay dublin 2 d02 yy00,1,29/05/2012,250000,53.343132999999995,-6.238948000000001,multi-family,,73.03,2004.0,1.0,2.0,,,Chimney View,South Dock ED,Dublin,Dublin 2,County Dublin,Leinster,D02 HP83,Ireland,ie,,,,,,,,,Gallery Quay,Dublin Docklands,,,,,,,,,
988250,1200009765,35001.0,A267043006,28,dublin,D14,93 braemor road dublin 14 d14 kd91,0,26/10/2011,325000,53.299448,-6.261391000000001,semi-dend-terraceached,87.26246,126.82,1955.0,2.0,4.0,,93,Braemor Road,Churchtown-Landscape ED,,Dublin 14,County Dublin,Leinster,D14 X654,Ireland,ie,,,Dún Laoghaire-Rathdown,Newtown Little,,,,,,,,,,,,,,,
1719097,1200006398,35001.0,A268117001,29,dublin,D04,apartment 6 huband court percy place dublin 4 d04 kd45,0,28/08/2018,510000,53.33547900000001,-6.242268,multi-family,,80.0,1980.0,1.0,2.0,2.0,,Percy Place,Pembroke West C ED,Dublin,Dublin 4,County Dublin,Leinster,D02 FK19,Ireland,ie,Baggotrath North,,,,,,,,Bank of Ireland,,,,,,,,,,
911230,1200012398,35001.0,A268115003,29,dublin,D04,44 penrose street dublin 4 d04 n725,0,07/06/2016,490000,53.340417,-6.232784,mid-terrace,,81.7,1920.0,3.0,3.0,,44,Penrose Street,Pembroke West A ED,Dublin,Dublin 4,County Dublin,Leinster,D04 K743,Ireland,ie,South Lots,,,,,,,,,,,,,,,,,,
995039,1200011089,35001.0,A268115002,29,dublin,D04,1 hope street dublin 4 d04 a448,0,17/07/2014,290000,53.340203,-6.234687999999999,mid-terrace,51.880993,42.4,1940.0,1.0,,,1,Hope Street,Pembroke West A ED,Dublin,Dublin 4,County Dublin,Leinster,D04 TR29,Ireland,ie,South Lots,,,,,,,,,,,,,,,,,,
1409611,1200045364,4009.0,A267111010,27,dublin,D13,7 the green station manor dublin 13 d13 vft8,1,02/10/2018,482863,53.419383999999994,-6.1500699999999995,end-terrace,69.503977,,2017.0,,,,,,Malahide ED,,,County Dublin,Leinster,D13 YV05,Ireland,ie,Portmarnock,Portmarnock,Fingal,,,,,,,,,,,,,,,,
904183,1200011086,35001.0,A267145001,26,dublin,D24,42 homelawn road dublin 24 d24 hh5n,0,19/09/2019,255000,53.283729,-6.351916,mid-terrace,45.688911,74.30000305,,2.0,3.0,1.0,41,Homelawn Road,Tallaght-Millbrook ED,,Dublin 24,County Dublin,Leinster,D24 W265,Ireland,ie,Tallaght,,South Dublin,,,Homelawn,,,,,,,,,,,,,
1869640,1200010511,35001.0,A268003010,29,dublin,D07,28 blackhall place dublin 7 d07 h0k8,0,21/08/2015,270000,53.34925,-6.281682,mid-terrace,42.945822,75.64,1952.0,2.0,2.0,,28,Blackhall Place,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 E98Y,Ireland,ie,,,,,,,,,,,,,,,,,,,
1646828,1200017597,35001.0,A267024004,28,dublin,A94,86 the sycamores rockford manor stradbrook road blackrock co. dublin a94 kr58,0,28/07/2014,335000,53.288431,-6.163919,multi-family,,82.7,1999.0,1.0,,,,Brooklawn,Blackrock-Stradbrook ED,,,County Dublin,Leinster,A94 A4A7,Ireland,ie,,Cornelscourt,Dún Laoghaire-Rathdown,Newtown Castlebyrn,,,,,,,,,,,,,,,
1801410,1200009974,35001.0,A268010006,29,dublin,D01,2 sherrard avenue dublin 1 d01 pw08,0,02/10/2018,250000,53.360333,-6.258233000000001,mid-terrace,,47.0,1934.0,2.0,,,,Sherrard Avenue,Ballybough B ED,Dublin,Dublin 1,County Dublin,Leinster,D01 C2F6,Ireland,ie,Clonliff South,,,,,,,,,,,,,,,,,,
1893610,1200009305,35001.0,A267017009,28,dublin,A94,apartment 5 carraiglea queen's park monkstown blackrock co. dublin a94 wk46,0,23/08/2017,450000,53.293712,-6.162252,multi-family,,95.1,1980.0,1.0,2.0,2.0,1-6,Queen's Park,Blackrock-Seapoint ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,Dunleary,,Dún Laoghaire-Rathdown,,Blackrock,,,,,,,,,,,,,,
172749,1200008215,35001.0,A268082002,29,dublin,D07,26 temple cottages dublin 7 d07 r5p0,0,29/08/2014,225000,53.354032,-6.272101,mid-terrace,,59.52,1920.0,2.0,,,22,Temple Cottages,Inns Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D01 HH34,Ireland,ie,,,,,,,,,,,,,,,,,,,
1102541,1200009765,35001.0,A267045001,28,dublin,D14,apartment 7 orwell court braemor road dublin 14 d14 f660,0,31/07/2015,415000,53.302616,-6.266064,multi-family,,78.14,1980.0,1.0,,,,Orwell Court,Churchtown-Landscape ED,,Dublin 14,County Dublin,Leinster,D14 X654,Ireland,ie,,,Dún Laoghaire-Rathdown,Newtown Little,,,,,1 - 8,,,,,,,,,,
450186,1200042150,35001.0,A267139001,26,dublin,D24,apartment 41 new bancroft hall greenhills road extension dublin 24 d24 v592,0,04/08/2016,227500,53.287601,-6.3578220000000005,multi-family,,91.97,2008.0,1.0,,,,,Tallaght-Glenview ED,,Dublin 24,County Dublin,Leinster,,Ireland,ie,Tallaght,,South Dublin,,,,,,,,Village Green,,,,,,,,
1494237,1200033244,35001.0,A267145006,26,dublin,D24,2 church mews the crescent millbrook lawns dublin 24 d24 n2c3,0,21/11/2019,255000,53.283867,-6.354245,mid-terrace,42.58721,,,2.0,2.0,2.0,3,The Crescent,Tallaght-Millbrook ED,,Dublin 24,County Dublin,Leinster,D24 R778,Ireland,ie,Oldbawn,,South Dublin,,,Millbrook Lawns,,,,,,,,,,,,,
827471,1200011422,35001.0,A268098006,29,dublin,D08,18 saint audoen's terrace dublin 8 d08 v1we,0,30/09/2019,349000,53.343782999999995,-6.272972,mid-terrace,,62.7,,,1.0,1.0,,St Audeon's Terrace,Merchants Quay A ED,Dublin,Dublin 8,County Dublin,Leinster,D08 DH58,Ireland,ie,,,,,,,,,,,,,,,,,,,
591501,1200009600,35001.0,A268081006,29,dublin,D07,59 saint joseph's place dorset street upper dublin 7 d07 k2y6,0,20/05/2013,100000,53.35734300000001,-6.266814,mid-terrace,42.607526,,,,2.0,,18,Blessington Street,Inns Quay B ED,Dublin,Dublin 7,County Dublin,Leinster,D01 W2C9,Ireland,ie,,,,,,,,,,,,,,,,,,,
1527445,1200008421,35001.0,A268143016,29,dublin,D02,apartment 16 alto vetro grand canal quay dublin 2 d02 vk83,0,05/04/2012,290000,53.342291,-6.238747,multi-family,,72.0,2003.0,1.0,2.0,,,Grand Canal Quay,South Dock ED,Dublin,Dublin 2,County Dublin,Leinster,D02 HP83,Ireland,ie,,,,,,,,,Alto Vetro,,,,,,,,,,
1490597,1200040517,35001.0,A268003016,29,dublin,D07,apartment 28 sarsfield quay apartments liffey street west dublin 7 d07 a528,0,02/10/2017,312000,53.34748100000001,-6.283983999999999,multi-family,,,,1.0,2.0,,,Benburb Street,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 Y683,Ireland,ie,,,,,,,,,Collins Square,,,,,,,,,,
484855,1200010893,35001.0,A268005007,29,dublin,D07,56 harold road dublin 7 d07 vkk6,0,10/09/2014,265000,53.351953,-6.2870919999999995,mid-terrace,,,,2.0,,,,Harold Road,Arran Quay E ED,Dublin,Dublin 7,County Dublin,Leinster,D07 DXT8,Ireland,ie,Grangegorman West,,,,,Oxmantown,,,,,,,,,,,,,
870424,1200012804,35001.0,A268002019,29,dublin,D07,apartment 15 block a blackhall square king street north dublin 7 d07 fx45,0,18/12/2017,285000,53.350101,-6.281168,multi-family,,,1997.0,1.0,,,105,North King Street,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 E98Y,Ireland,ie,,,,,,,,,,,,,,,,,,,
310285,1200007262,35001.0,A267018007,28,dublin,A94,apartment 4 97 seapoint avenue blackrock co. dublin a94 fh33,0,13/03/2013,500000,53.296766000000005,-6.1597669999999995,multi-family,,,,1.0,,,97,Seapoint Avenue,Blackrock-Seapoint ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,,,Dún Laoghaire-Rathdown,Seapoint or Templehill,Blackrock,,,,,,,,,,,,,,
1406434,1200014881,35001.0,A267023002,28,dublin,A94,91 rowanbyrn deansgrange blackrock co. dublin a94 hw56,0,10/07/2014,564000,53.289053,-6.169022,dend-terraceached,78.761517,113.38,1980.0,2.0,3.0,,90,Rowanbyrn,Blackrock-Newpark ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,,,Dún Laoghaire-Rathdown,Newtown Castlebyrn,Blackrock,Rowanbyrn,,,,,,,,,,,,,
461745,1200010195,35001.0,A268115005,29,dublin,D04,66 northumberland road dublin 4 d04 v2c8,0,28/06/2016,750000,53.33438,-6.236429,semi-dend-terraceached,145.759823,,,,,,66,Northumberland Road,Pembroke West ED,Dublin,Dublin 4,County Dublin,Leinster,DO4 PF51,Ireland,ie,Baggotrath East,,,,,,,,,,,,,,,,,,
987716,1200010795,35001.0,A268081003,29,dublin,D07,27 goldsmith street dublin 7 d07 h6y5,0,27/02/2017,450000,53.358952,-6.27125,mid-terrace,95.179552,144.32,1910.0,2.0,5.0,,,Goldsmith Street,Inns Quay B ED,Dublin,Dublin 7,County Dublin,Leinster,D07 RX3P,Ireland,ie,,,,,,,,,,,,,,,,,,,
1706702,1200042150,35001.0,A267139001,26,dublin,D24,apartment 84 new bancroft hall greenhills road extension dublin 24 d24 yd54,1,17/12/2010,141250,53.288033,-6.357969000000001,multi-family,,,2008.0,1.0,,,,Main Street,Tallaght-Kingswood ED,,Dublin 24,County Dublin,Leinster,D24 KP02,Ireland,ie,Tallaght,,South Dublin,,,,,,,,,,,,,,,,
1718826,1200001345,35001.0,A267017005,28,dublin,A94,8 windsor park monkstown blackrock co. dublin a94 w5n3,0,13/12/2016,675000,53.288157,-6.16146,semi-dend-terraceached,71.443046,140.62,1958.0,2.0,4.0,,8,Windsor Park,Blackrock-Stradbrook ED,,,County Dublin,Leinster,A96 TW60,Ireland,ie,,Cornelscourt,Dún Laoghaire-Rathdown,Lansville,,,,,,,,,,,,,,,
1908875,1200040522,35001.0,A268115016,29,dublin,D04,8 northumberland place dublin 4 d04 a4v9,0,17/12/2018,640000,53.337458,-6.237984,end-terrace,59.390793,98.55,1999.0,2.0,3.0,,8,Northumberland Place,Pembroke West A ED,Dublin,Dublin 4,County Dublin,Leinster,D04 TR29,Ireland,ie,Baggotrath North,,,,,,,,,,,,,,,,,,
1805237,1200012364,35001.0,A268143024,29,dublin,D04,apartment 43 camden lock south dock road dublin 4 d04 kf21,0,11/01/2018,497000,53.341721,-6.230222,multi-family,,102.5,1990.0,1.0,,,,Bridge Street,Pembroke West A ED,Dublin,Dublin 4,County Dublin,Leinster,D04 K743,Ireland,ie,South Lots,,,,,,,,Camden Lock,,,,,,,,,,
1140473,1200009538,35001.0,A267024003,28,dublin,A94,apartment 1 stradbrook hall apartments stradbrook hall blackrock co. dublin a94 y166,0,22/07/2015,310000,53.29122099999999,-6.165394999999999,multi-family,,,1900.0,1.0,,,,Stradbrook Hall,Blackrock-Stradbrook ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,,,Dún Laoghaire-Rathdown,Stradbrook,Blackrock,,,,Stradbrook Hall Apartments,,,,,,,,,,
1696506,1200006398,35001.0,A268117001,29,dublin,D04,apartment 2 huband court percy place dublin 4 d04 yy91,0,29/08/2019,485000,53.33547900000001,-6.242268,multi-family,,69.0,1980.0,1.0,2.0,2.0,,Percy Place,Pembroke West C ED,Dublin,Dublin 4,County Dublin,Leinster,D02 FK19,Ireland,ie,Baggotrath North,,,,,,,,Bank of Ireland,,,,,,,,,,
660050,1200007833,35001.0,A268005002,29,dublin,D07,66 viking road dublin 7 d07 n4f4,0,12/12/2016,294000,53.350283999999995,-6.284633,mid-terrace,,55.71,1900.0,2.0,,,,Viking Road,Arran Quay E ED,Dublin,Dublin 7,County Dublin,Leinster,D07 E98Y,Ireland,ie,Grangegorman West,,,,,Oxmantown,,,,,,,,,,,,,
1643162,1200040522,35001.0,A268115016,29,dublin,D04,24 northumberland place dublin 4 d04 ek64,0,05/12/2013,855500,53.338007,-6.238957,multi-family,,59.1,1990.0,1.0,,,,Estate Cottages,Pembroke West A ED,Dublin,Dublin 4,County Dublin,Leinster,D02 TN83,Ireland,ie,Baggotrath North,,,,,,,Northumberland Place,,,,,,,,,,,
279832,1200009763,35001.0,A267045005,28,dublin,D14,8 braemor avenue dublin 14 d14 f766,0,06/02/2019,121110,53.300793999999996,-6.261778,semi-dend-terraceached,65.71159300000001,,,,,,8,Braemor Avenue,Churchtown-Orwell ED,,Dublin 14,County Dublin,Leinster,D14 X654,Ireland,ie,,,Dún Laoghaire-Rathdown,Newtown Little,,,,,,,,,,,,,,,
1412411,1200013252,35001.0,A267146008,26,dublin,D24,27a ferndale dublin 24 d24 h765,0,03/07/2017,357000,53.282189,-6.36415,dend-terraceached,69.809934,120.36,2005.0,2.0,3.0,,,Ferndale,Tallaght-Oldbawn ED,,Dublin 24,County Dublin,Leinster,D24 P892,Ireland,ie,Oldbawn,,South Dublin,,,,,,,,,,,,,,,,
1930947,1200007833,35001.0,A268005002,29,dublin,D07,43 viking road dublin 7 d07 w2w2,0,06/06/2018,390000,53.351071999999995,-6.285285,mid-terrace,,53.84,1900.0,2.0,,,,Viking Road,Arran Quay E ED,Dublin,Dublin 7,County Dublin,Leinster,D07 E98Y,Ireland,ie,Grangegorman West,,,,,Oxmantown,,,,,,,,,,,,,
1862099,1200010511,35001.0,A268003015,29,dublin,D07,56 blackhall place dublin 7 d07 fx79,0,02/10/2015,220000,53.34745899999999,-6.282161,end-terrace,58.407092000000006,69.76,1890.0,2.0,2.0,,56,Blackhall Place,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D08 R596,Ireland,ie,,,,,,,,,,,,,,,,,,,
1376232,1200010666,35001.0,A267017013,28,dublin,A94,12 the poplars monkstown valley monkstown blackrock co. dublin a94 v2c7,0,14/01/2019,400000,53.292421,-6.161376000000001,mid-terrace,,77.0,1983.0,1.0,2.0,,9-14,The Poplars,Blackrock-Monkstown ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,Monkstown,,Dún Laoghaire-Rathdown,,Blackrock,Monkstown Valley,,,,,,,,,,,,,
1253713,1200009365,35001.0,A268010006,29,dublin,D01,5 portland place dublin 1 d01 cx33,0,23/07/2013,200000,53.360943000000006,-6.258962,mid-terrace,44.68704,117.15,1900.0,3.0,5.0,,,Portland Place,Ballybough B ED,Dublin,Dublin 1,County Dublin,Leinster,D01 C2F6,Ireland,ie,Clonliff South,,,,,,,,Portland Lock,,,,,,,,,,
849196,1200007199,35001.0,A268115013,29,dublin,D04,3 the pidgeon house south lotts road dublin 4 d04 t3v8,1,31/03/2012,348458,53.339856999999995,-6.235037,mid-terrace,83.15185799999999,,2011.0,,,,,Gordon Street,Pembroke West A ED,Dublin,Dublin 4,County Dublin,Leinster,D04 TR29,Ireland,ie,South Lots,,,,,,,,The Poolbeg,,,,,,,,,,
196439,1200012804,35001.0,A268002019,29,dublin,D07,apartment 67 block c blackhall square king street north dublin 7 d07 k273,0,13/01/2017,202000,53.350017,-6.280357,multi-family,,,1998.0,1.0,1.0,,99,North King Street,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 E98Y,Ireland,ie,,,,,,,,,,,,,,,,,,,
